ESPRESSO,£1.75
AMERICANO,£2.30
LATTE 1 SHOT,£2.50
DOUBLE ESPRESSO,£2.25
FLAT WHITE,£2.50
MACCHIATO,£2.10
CAPPUCCINO,£2.60
Hot Chocolate,£2.50
CUP OF WELSH TEA,£1.55
CUP OF DECAF WELSH TEA,£1.65
"HEARTSEASE FARM ELDERFLOWER, HEARTSEASE GINGER BEER OR APPETISER",£2.50
ORANGE OR APPLE JUICE,£1.50
MILKSHAKES,£2.25
MIKEYS ICE CREAM SHAKES,£3.25
